Community Area Name,Community Area Number,Property Type,Property Name,Address,Zip Code,Phone Number,Management Company,Units,X Coordinate,Y Coordinate,Latitude,Longitude,Location
Lower West Side,31,Multifamily,Casa Puebla,2014 S. Racine Ave.,60608,312-666-1323,The Resurrection Project,63,1151016.2570625048,1913014.533058195,41.9171647082,-87.7133858481,"2014 S. Racine Ave.
(41.9171647082, -87.7133858481)"
Lower West Side,31,Multifamily,Casa Guerrero,963 W Cullerton St.,60608,312-666-1323,The Resurrection Project,52,1174747.57210376,1912402.356670404,41.9155235348,-87.720610728,"963 W Cullerton St.
(41.9155235348, -87.720610728)"
Lower West Side,31,Multifamily,Casa Oaxaca,1714 W. 19th St.,60608,312-666-1323,The Resurrection Project,25,1168646.2965818448,1901307.2524319694,41.884579663,-87.6337568335,"1714 W. 19th St.
(41.884579663, -87.6337568335)"
Lower West Side,31,Senior,Casa Maravilla,2021 S. Morgan St.,60608,312-666-1323,The Resurrection Project,5,1170238.8058330964,1890365.9909551519,41.8546902787,-87.6564782084,"2021 S. Morgan St.
(41.8546902787, -87.6564782084)"
Lower West Side,31,Multifamily,Casa Chiapas,1712 W. 17th St.,60608,312-666-1323,The Resurrection Project,72,1165132.942698977,1890555.1686823391,41.8551748018,-87.6506275348,"1712 W. 17th St.
(41.8551748018, -87.6506275348)"
Lower West Side,31,Multifamily,Casa Morelos,2015 S. Morgan St.,60608,312-666-1323,The Resurrection Project,4,1170051.208277346,1890827.8270715745,41.8560328733,-87.6693605655,"2015 S. Morgan St.
(41.8560328733, -87.6693605655)"
Lower West Side,31,Multifamily,Casa Tabasco ,2014 S. Racine Ave.,60608,312-850-1935,The Resurrection Project,45,1165119.3725775955,1890349.586619211,41.8546147585,-87.6513220922,"2014 S. Racine Ave.
(41.8546147585, -87.6513220922)"
Lower West Side,31,Multifamily,Casa Monterrey,967 W. 19th St.,60608,312-666-1323,The Resurrection Project,4,1168646.2965818448,1890417.7841083359,41.8548019389,-87.6513269744,"967 W. 19th St.
(41.8548019389, -87.6513269744)"
Montclare,18,Senior,The Montclare Senior Residences ,6650 W. Belden Ave.,60707,773-237-3831,Pacific Management Inc.,7,1168646.2965818448,1890365.9909551519,41.8546902787,-87.6564782084,"6650 W. Belden Ave.
(41.8546902787, -87.6564782084)"
Montclare,18,ARO,TBD,"6602,6614 W. Diversey Ave.",60707,708-867-3799,Zitella Development ,3,1170202.3560892306,1890365.9909551519,41.8546902787,-87.6564782084,"6602,6614 W. Diversey Ave.
(41.8546902787, -87.6564782084)"
Near North Side,8,Multifamily,North Town Village,1311 N. Halsted St.,60610,312-944-9488,Holsten Real Estate Dev. Corp.,317,,1891062.3128613762,41.8565672424,-87.6507465232,"1311 N. Halsted St.
(41.8565672424, -87.6507465232)"
Near North Side,8,Multifamily,Parkside-I Rental,545 W. Division St.,60610,312-944-8500,Holsten Management Corp.,116,1131547.9315415001,,,,
Near North Side,8,Multifamily,Parkside of Old Town Phase IIA,544 W. Oak St.,60610,312-640-6032,Holsten Real Estate Dev. Corp.,111,1170813.0619101573,1914379.4156676917,41.9213082228,-87.792090958,"544 W. Oak St.
(41.9213082228, -87.792090958)"
Near North Side,8,Multifamily,North Town Village II,1311 N. Halsted St.,60642,312-944-9488,Holsten Real Estate Dev. Corp.,112,1172154.2889429512,1908876.8619034237,41.9054382467,-87.6479827434,"1311 N. Halsted St.
(41.9054382467, -87.6479827434)"
Near North Side,8,Supportive Housing,The Midwest/Carroll Park Apartments,1333 N. Kingsbury St.,60622,312-337-5339,Holsten Real Estate Dev. Corp.,40,1172196.0320095103,1908220.9975412255,41.9036090085,-87.6430753954,"1333 N. Kingsbury St.
(41.9036090085, -87.6430753954)"
Near South Side,33,Senior,Senior Suites of Central Station,1400 S. Indiana Ave.,60605,312-913-9333,Senior Lifestyle Corp.,276,1170813.0619101573,1907097.5331471777,41.9005252379,-87.6429552753,"1400 S. Indiana Ave.
(41.9005252379, -87.6429552753)"
Near South Side,33,Supportive Housing,The Studios,1801 S. Wabash St.,60616,312-326-5200,East Lake Management Co.,96,1170359.4541896505,1908876.8619034237,41.9054382467,-87.6479827434,"1801 S. Wabash St.
(41.9054382467, -87.6479827434)"
Near South Side,33,Multifamily,Hillard Homes Phase I,2030 S. State St.,60616,312-225-7610,Holsten Real Estate Dev. Corp.,170,1177842.0936783925,1908979.9292605727,41.9057310023,-87.6496459664,"2030 S. State St.
(41.9057310023, -87.6496459664)"
Near South Side,33,Senior,Hilliard Homes Phase I,30 W. Cermak Road,60616,312-326-1455,Holsten Real Estate Dev. Corp.,151,1177086.6977832485,1893842.680241957,41.8640266649,-87.622620427,"30 W. Cermak Road
(41.8640266649, -87.622620427)"
Near South Side,33,Multifamily,Hilliard Homes Phase II,2031 S. Clark St.,60616,312-326-1455,Holsten Management Corp.,176,1176604.642296739,1891564.720194449,41.857792921,-87.6254623688,"2031 S. Clark St.
(41.857792921, -87.6254623688)"
Near South Side,33,Senior,Hilliard Homes Phase II,30 W. Cermak Road,60616,312-326-1466,Holsten Management Corp.,151,1176346.441206223,1890373.5034965982,41.854535033,-87.6272677388,"30 W. Cermak Road
(41.854535033, -87.6272677388)"
Near South Side,33,Senior,G&A Senior Residences at Eastgate Village,300 E. 26th Street,60616,773-381-7400,Eastgate Village Partners LP,127,1161390.3474516731,1889816.861403971,41.8530133902,-87.628232211,"300 E. 26th Street
(41.8530133902, -87.628232211)"
Near West Side,28,Multifamily,Westhaven Park Phase IIA,2237 W. Maypole Ave.,60612,312-455-0009,Interstate Realty Management Co.,92,1175862.8657496881,1900920.9664023356,41.8838079875,-87.6828170157,"2237 W. Maypole Ave.
(41.8838079875, -87.6828170157)"
Near West Side,28,Multifamily,Westhaven Park Phase IIB,110 N. Wood St.,60612,312-491-1117,Interstate Realty Management Co.,176,1163284.2573568304,1890322.361118107,41.8544114001,-87.6299918764,"110 N. Wood St.
(41.8544114001, -87.6299918764)"
Near West Side,28,Multifamily,Westhaven Park IIC ,1939 W. Lake St.,60612,312-455-0009,Interstate Realty Management Co.,42,1176346.441206223,1901334.7365981778,41.8849038015,-87.6758507682,"1939 W. Lake St.
(41.8849038015, -87.6758507682)"
Near West Side,28,Multifamily,Roosevelt Square Phase I /ABLA Rental,1222 W. Roosevelt Road,60607,312-948-0116,Related Management Co. LP,105,1164349.325312463,1889816.861403971,41.8530133902,-87.628232211,"1222 W. Roosevelt Road
(41.8530133902, -87.628232211)"
Near West Side,28,Senior,Roosevelt Place,1401 W. Roosevelt Road,60608,312-733-2436,"East Lake Management Group, Inc.",181,1178501.1617860266,1900851.1201508911,41.8835542602,-87.6719533672,"1401 W. Roosevelt Road
(41.8835542602, -87.6719533672)"
Near West Side,28,Senior,Loomis Court,1314 W. 15th St.,60608,312-850-4128,CHA,68,1168285.1327187584,1887204.439847358,41.8457959044,-87.6204033747,"1314 W. 15th St.
(41.8457959044, -87.6204033747)"
Near West Side,28,Multifamily,Newberry Park Apartments,1355 S. Blue Island Ave.,60608,312-563-0099,AIMCO,124,1167191.3960007455,1894881.9846013894,41.8670903488,-87.6576733813,"1355 S. Blue Island Ave.
(41.8670903488, -87.6576733813)"
Near West Side,28,Multifamily,Near West Side Apartments,216 S. Hoyne Ave.,60612,312-738-2280,Baker-Simmons Apartments,84,1167767.3949669574,1894769.7970191787,41.866806049,-87.6616918421,"216 S. Hoyne Ave.
(41.866806049, -87.6616918421)"
Near West Side,28,Multifamily,St. Andrew's Court,50 N. Hoyne Ave.,60612,312-226-7620,St. Andrew's Court LP,15,1168817.2778686853,1892902.5811651663,41.8616698673,-87.659631083,"50 N. Hoyne Ave.
(41.8616698673, -87.659631083)"
Near West Side,28,Multifamily,Jackson Square West End,2425 W. Adams St.,60612,312-492-6645,East Lake Management Co.,115,1162403.5672647401,1893757.841159408,41.8639940988,-87.6557523872,"2425 W. Adams St.
(41.8639940988, -87.6557523872)"
Near West Side,28,Supportive,Harvest Commons,1519 W. Warren Blvd.,60607,312-660-1354,Heartland Houisng Inc.,89,,1898857.8894641905,41.8781255904,-87.6791541271,"1519 W. Warren Blvd.
(41.8781255904, -87.6791541271)"
New City,61,Multifamily,Senior Suites of New City,4845 S. Western Blvd.,60609,773-523-9333,Senior Lifestyle Corp.,115,,,,,
New City,61,Senior,West Haven Homes,850 W. Garfield Blvd.,60609,773-536-3057,"Universal Management Service, Inc.",110,,,,,
New City,61,Senior,Goldblatt's Senior Living,1615 W. 47th St.,60609,877-882-1495,BMA Management Ltd.,101,,,,,
North Center,5,Senior,North Center Senior Apartments,2324 W. Irving Park Road,60618,773-478-8900,"Metroplex, Inc.",60,1161385.3739578223,,,,
North Lawndale,29,Senior,Roosevelt Towers,3440 W. Roosevelt Road,60624,773-265-6961,"East Lake Management Group, Inc.",104,1171337.269424133,1872314.958613434,41.8053101773,-87.6836299382,"3440 W. Roosevelt Road
(41.8053101773, -87.6836299382)"
North Lawndale,29,Senior,Tabernacle Apartments,3836 W. Cermak Road,60623,773-762-3389,Lawndale Christian Residential Svcs.,126,1160064.9005808276,1868414.146219006,41.7943936951,-87.6472446717,"3836 W. Cermak Road
(41.7943936951, -87.6472446717)"
North Lawndale,29,Multifamily,Lazarus Apartments,1859 S. Pulaski Ave.,60623,773-762-3389,Lawndale Christian Residential Svcs.,26,1153440.1241936614,1926543.1808314822,41.9541446663,-87.6869750499,"1859 S. Pulaski Ave.
(41.9541446663, -87.6869750499)"
North Lawndale,29,Multifamily,Dicksons Estates Apartments,1129 S. Sacramento Ave.,60612,773-638-0386,Dickson Estates Apartments,48,1150987.190267074,1894532.7749594802,41.8664397713,-87.7121808603,"1129 S. Sacramento Ave.
(41.8664397713, -87.7121808603)"
North Lawndale,29,Multifamily,Praise Apartments,1859 S. Pulaski Road,60623,773-762-3389,Lawndale Christian Residential Svcs.,11,1150056.0629614652,1889144.7486111482,41.8517027368,-87.7213268803,"1859 S. Pulaski Road
(41.8517027368, -87.7213268803)"
North Lawndale,29,Multifamily,Fountain View Apartments,1331 S. Independence Blvd.,60623,773-762-3389,Lawndale Christian Residential Svcs.,32,1156574.0087372132,1890463.503159668,41.8553397217,-87.7247100763,"1331 S. Independence Blvd.
(41.8553397217, -87.7247100763)"
North Lawndale,29,Multifamily,Lawndale Restoration II Apartments,3200 block of West Douglas Blvd.,60613,312-337-5339,Holsten Management Corp.,45,1150056.0629614652,1894894.5102467015,41.8673696101,-87.7006662254,"3200 block of West Douglas Blvd.
(41.8673696101, -87.7006662254)"
North Lawndale,29,Multifamily,Dr. King Apartments,1550 S. Hamlin Ave.,60623,773-776-7233,Lawndale Christian Residential Svcs.,170,1151511.1578080195,1890463.503159668,41.8553397217,-87.7247100763,"1550 S. Hamlin Ave.
(41.8553397217, -87.7247100763)"
North Lawndale,29,Supportive/HIV/AIDS,Hope House,1251 S. Sawyer Ave.,60623,773-935-4663,"AIDSCare, Inc.",80,,1893415.133168019,41.8634109156,-87.7192916814,"1251 S. Sawyer Ave.
(41.8634109156, -87.7192916814)"
North Lawndale,29,Supportive/Youth/Kinship Families,Sankofa House,4041 W. Roosevelt Road,60624,773-257-8800,Interfaith Housing Corp.,32,1151263.6234547235,,,,
North Lawndale,29,Supportive Housing,Independence Apartments,927 S. Independence Blvd.,60624,773-549-8300,Realty & Mortgage Co.,58,1154939.0234203928,1891891.9301081835,41.8592359223,-87.720240298,"927 S. Independence Blvd.
(41.8592359223, -87.720240298)"
North Lawndale,29,Multifamily,Dicksons Estates Apartments,1129 S. Sacramento Ave.,60612,773-638-0386,Dickson Estates Apartments,42,1149479.8229627917,1893956.6797284372,41.8648290106,-87.7066936632,"1129 S. Sacramento Ave.
(41.8648290106, -87.7066936632)"
North Lawndale,29,Multifamily,Renaissance Place Apartments,3128 W. Douglas Blvd.,60623,773-762-3389,Lawndale Christian Residential Svcs.,11,1151446.0748254498,1894358.7814178746,41.8660400256,-87.7267241437,"3128 W. Douglas Blvd.
(41.8660400256, -87.7267241437)"
North Lawndale,29,Multifamily,Park Douglas,Ogden/California/Talman,60608,773-893-4800,Interstate Realty Management Co.,54,1156574.0087372132,1895529.681933545,41.8692147569,-87.7194750917,"Ogden/California/Talman
(41.8692147569, -87.7194750917)"
North Park,13,Senior,North Park Village Apartments,5801 N. Pulaski Road,60646,773-478-6890,EHDOC,137,1155600.259703129,1894894.5102467015,41.8673696101,-87.7006662254,"5801 N. Pulaski Road
(41.8673696101, -87.7006662254)"
North Park,13,Senior,Edward M. Marx Apartments,5801 N. Pulaski Road,60646,773-583-4182,EHDOC,180,,1893326.919926386,41.8630876114,-87.7042831894,"5801 N. Pulaski Road
(41.8630876114, -87.7042831894)"
Norwood Park,,Senior,Senior Suites of Norwood Park,5700 N. Harlem Ave.,60631,888-339-2315,Senior Lifestyle ,84,,,,,
Oakland,36,Multifamily,Oakwood Shores 1A,37th/Ellis,60653,773-373-1300,"The Community Builders, Inc.",40,1184161.775787701,1938044.2365664502,41.9859315142,-87.72836921,"37th/Ellis
(41.9859315142, -87.72836921)"
Oakland,36,Multifamily,Oakwood Shores 1B,37th/Cottage,60653,773-373-1300,"The Community Builders, Inc.",163,1181955.520136621,1877771.78885836,41.8197812878,-87.5999252673,"37th/Cottage
(41.8197812878, -87.5999252673)"
Oakland,36,Multifamily,Oakwood Shores 2A,37th/Langley,60653,773-373-1300,"The Community Builders, Inc.",162,,1880134.9315073378,41.826317314,-87.6079454471,"37th/Langley
(41.826317314, -87.6079454471)"
Oakland,36,Multifamily,Oakwood Shores 2B 1,38th/Vincennes,60653,773-373-1300,"The Community Builders, Inc.",199,,,,,
Oakland,36,Multifamily,Oakwood Shores Senior Apartments,3750 S. Cottage Grove Ave.,60653,773-373-1300,"The Community Builders, Inc.",75,,,,,
Oakland,36,Multifamily,Lake Park Crescent,1061 E. 41st Place,60653,773-268-0200,"Draper and Kramer, Inc.",32,1148723.5010362945,,,,
Oakland,36,Senior,Oakwood Shores Terrace,3755 S. Cottage Grove Ave.,60653,773-373-1300,"The Community Builders, Inc.",148,1148723.5010362945,1938044.2365664502,41.9859315142,-87.72836921,"3755 S. Cottage Grove Ave.
(41.9859315142, -87.72836921)"
Pullman,50,Multifamily,Pullman Wheelworks,901 E. 104th St.,60628,773-785-1300,Mercy Housing,210,,,,,
Pullman,50,Senior,Pullman Suites,15 E. 112th Place,60628,773-840-3993,Triangle & Assoc.,60,,,,,
Riverdale,54,Senior,Concordia Apartments,13037 S. Daniel Dr.,60627,773-995-5200,"DRE, Inc.",75,,,,,
Rogers Park,1,Supportive Housing,Wayne Street Apartments,6808 N. Wayne Ave.,60626,773-572-5272,The Thresholds,297,1181862.3293714053,,,,
Rogers Park,1,Senior,Morse Senior Apartments,6928 N. Wayne Ave.,60626,312-602-6207,Morse Urban Dev.,44,1180294.2738928266,1880153.551343028,41.8263705668,-87.6082867641,"6928 N. Wayne Ave.
(41.8263705668, -87.6082867641)"
Rogers Park,1,Senior,James Sneider Apartments,7450 N. Rogers Ave.,60626,773-743-3699,Hispanic Housing Dev. Corp.,57,1165865.3477642245,1818758.3719629094,41.6579312533,-87.6159174009,"7450 N. Rogers Ave.
(41.6579312533, -87.6159174009)"
Rogers Park,1,Senior,Wayne Senior Housing,6928 N. Wayne Ave.,60626,773-274-0177,CIG Management,119,1165843.8983617804,1945401.688805442,42.0057709728,-87.6651110904,"6928 N. Wayne Ave.
(42.0057709728, -87.6651110904)"
Roseland,49,Supportive Housing,Wentworth Commons,11045 S. Wentworth Ave.,60628,773-568-7804,Mercy Housing Lakefront,50,1163640.7090683652,1946058.5134415056,42.0075737709,-87.6651711448,"11045 S. Wentworth Ave.
(42.0075737709, -87.6651711448)"
Roseland,49,Multifamily,Roseland Ridge Apartments,10513 S. Michigan Ave.,60628,773-341-3158,NHS Redevelopment Corp.,51,1165843.8983617804,1949531.1714154778,42.0171497111,-87.6731785733,"10513 S. Michigan Ave.
(42.0171497111, -87.6731785733)"
Roseland,49,Supportive Housing,Holland Apartments,240 W. 107th Place,60628,773-568-3031,Mercy Housing,40,1176951.4016152027,1946058.5134415056,42.0075737709,-87.6651711448,"240 W. 107th Place
(42.0075737709, -87.6651711448)"
Roseland,49,Senior,Victory Center of Roseland,10450 S. Michigan Ave.,60628,773-468-6400,Pathway Senior Living ,81,1178893.6986119405,1831516.0158972335,41.6930159121,-87.6277673462,"10450 S. Michigan Ave.
(41.6930159121, -87.6277673462)"
Roseland,49,Senior,Roseland Ridge Senior Apartments,10400-30 S. Michigan Ave.,60628,773-548-8301,Neighborhood Housing Services,124,1176448.51184587,1835198.53356157,41.7030773785,-87.6205446771,"10400-30 S. Michigan Ave.
(41.7030773785, -87.6205446771)"
Roseland,,Inter-generational,Roseland Village Grand-Family Apartments,63 E. 104th St.,60628,773-468-1901,Mercy Housing,10,1178829.4007118938,1833690.9859369479,41.698995638,-87.6295434504,"63 E. 104th St.
(41.698995638, -87.6295434504)"
South Chicago,46,Senior,Victory Center of South Chicago,3251 E. 92nd St.,60617,773-449-2600,Pathway Senior Living ,60,,1835494.4053217333,41.7038907515,-87.6207711553,"3251 E. 92nd St.
(41.7038907515, -87.6207711553)"
South Chicago,46,Supportive Housing,Bettendorf Place SRO,8425 S. Saginaw Ave.,60617,773-359-4902,Alexian Brothers Bonaventure House,112,1178859.4647864362,,,,
South Chicago,46,Senior,Victory Center of South Chicago,9200 S. Burley Ave.,60617,773-449-2600,Pathway Senior Living ,23,1199523.085420141,1836023.490738764,41.7053419518,-87.6206450334,"9200 S. Burley Ave.
(41.7053419518, -87.6206450334)"
South Chicago,46,Multifamily,Casa Kirk,3200 E. 92nd St.,60617,773-734-2884,Interfaith Housing Corp.,112,1195337.9188801304,1844538.4563788343,41.7282135464,-87.5446927939,"3200 E. 92nd St.
(41.7282135464, -87.5446927939)"
South Lawndale,30,Multifamily,Casa Sor Juana,2700 S. Drake Ave.,60608,312-850-1935,The Resurrection Project,29,1199232.9011781784,1849509.6505140746,41.7419591238,-87.5598598952,"2700 S. Drake Ave.
(41.7419591238, -87.5598598952)"
South Shore,43,Multifamily,Highlands Tudor Manor,7018 S. Cregier Ave.,60649,773-667-1940,Related Management Co. LP,18,1198941.1027295904,1844538.0998224837,41.7282198588,-87.5457557823,"7018 S. Cregier Ave.
(41.7282198588, -87.5457557823)"
South Shore,43,Senior,Senior Suites of Rainbow Beach,2804 E. 77th Place,60649,773-374-5333,Senior Lifestyle Corp.,87,1153098.3021828188,1844604.277047114,41.7284087757,-87.546822457,"2804 E. 77th Place
(41.7284087757, -87.546822457)"
South Shore,43,Senior,Rainbow's End,7538 S. Kingston Ave.,60649,773-768-5402,"Urban Property Advisors, LLC",84,1189376.953607129,1885797.7278244356,41.842476558,-87.713667149,"7538 S. Kingston Ave.
(41.842476558, -87.713667149)"
South Shore,43,Senior,Senior Suites of South Shore,2355 E. 67th St.,60649,773-324-2333,Senior Lifestyle Corp.,55,1196631.9120805236,1858721.452356422,41.7673820796,-87.5814053802,"2355 E. 67th St.
(41.7673820796, -87.5814053802)"
Uptown,3,Supportive Housing,Major Jenkins Apartments,5012 N. Winthrop Ave.,60640,773-506-3486,Mercy Housing,96,1194467.2799732804,1854159.4837005038,41.7546866025,-87.5549647165,"5012 N. Winthrop Ave.
(41.7546866025, -87.5549647165)"
Uptown,3,Multifamily,Uptown Preservation Apartments,900 W. Windsor Ave.,60640,773-286-5400,Leasing & Management Co. Inc.,160,1193073.3229901514,1855300.5607110243,41.7578712724,-87.5628598349,"900 W. Windsor Ave.
(41.7578712724, -87.5628598349)"
Uptown,3,Multifamily,Uptown Preservation Apartments,4431 N. Clifton Ave.,60640,773-286-5400,Leasing & Management Co. Inc.,18,1167919.6152384933,1860960.1627823284,41.7734357917,-87.567783821,"4431 N. Clifton Ave.
(41.7734357917, -87.567783821)"
Uptown,3,Multifamily,Uptown Preservation Apartments,927 W. Wilson Ave.,60640,773-286-5400,Leasing & Management Co. Inc.,18,1169410.7238433592,1933730.4380171197,41.9737005572,-87.6578919355,"927 W. Wilson Ave.
(41.9737005572, -87.6578919355)"
Uptown,3,Multifamily,Malden Arms Apartments,4727 N. Malden St.,60640,773-334-2164,Mercy Housing,41,1167869.5114808967,1930422.9420342208,41.9645923009,-87.6525054366,"4727 N. Malden St.
(41.9645923009, -87.6525054366)"
Uptown,3,Multifamily,Sunnyside Kenmore Apartments,847-49 W. Sunnyside Ave.,60640,773-769-3116,"Metroplex, Inc.",83,1169143.7726304997,1929704.2639931454,41.9626536881,-87.6581928459,"847-49 W. Sunnyside Ave.
(41.9626536881, -87.6581928459)"
Uptown,3,Multifamily,Sunnyside Kenmore Apartments,4130 N. Kenmore Ave.,60640,773-769-3116,"Metroplex, Inc.",13,1166646.8377223643,1930693.0740830055,41.9653393681,-87.653479057,"4130 N. Kenmore Ave.
(41.9653393681, -87.653479057)"
Uptown,3,Senior,Wilson Yard Senior Apartments,1032 W. Montrose Ave,60613,866-227-0438,Holsten Real Estate Dev. Corp.,13,1169606.6776593295,1931640.3450981718,41.967992713,-87.6626324087,"1032 W. Montrose Ave
(41.967992713, -87.6626324087)"
Uptown,3,Senior,Kenmore Senior Housing,5040 N. Kenmore Ave.,60640,773-769-3006,The Habitat Co.,98,1168380.0304702325,1930039.3360946288,41.9635353994,-87.6517961908,"5040 N. Kenmore Ave.
(41.9635353994, -87.6517961908)"
Uptown,3,Supportive Housing,Harold Washington Apartments,4946 N. Sheridan Road ,60640,312-447-4621,Mercy Housing,100,1168438.959159473,1927860.1940091166,41.9575824413,-87.6563694357,"4946 N. Sheridan Road
(41.9575824413, -87.6563694357)"
Uptown,3,Multifamily,850 Eastwood,850 W. Eastwood Ave.,60640,773-275-6877,Mercy Housing,69,1168292.8321203333,1929421.6495916455,41.9618658533,-87.6561074284,"850 W. Eastwood Ave.
(41.9618658533, -87.6561074284)"
Uptown,3,Senior,Ruth Shriman House,4040 N. Sheridan Road,60613,773-665-2210,Interfaith Housing Corp.,231,1168689.9333343573,1934023.2899432692,41.9744960685,-87.6565110221,"4040 N. Sheridan Road
(41.9744960685, -87.6565110221)"
Uptown,,ARO,Somerset Place Apartments,5009 N. Sheridan Road,60640,317-596-2168,Zidan Management Group,16,,1933461.5872546497,41.9729461221,-87.6550671247,"5009 N. Sheridan Road
(41.9729461221, -87.6550671247)"
Washington Heights,73,Senior,Senior Suites of Washington Heights,848 W. 103rd St.,60643,773-233-1333,Senior Lifestyle Corp.,82,1169619.1131885468,,,,
Washington Heights,73,Senior,Brainerd Senior Center,8915 S. Loomis St.,60620,773-429-1501,Realty & Mortgage Co.,60,1172263.7266894968,1931130.1859241405,41.9665284532,-87.6517185639,"8915 S. Loomis St.
(41.9665284532, -87.6517185639)"
Washington Park,40,People with Disabilities,Urbanite Apartments,5441 S. Michigan Ave.,60615,773-285-3341,Assoc. of Chicago Day School,85,1168832.7496225224,1836577.477182002,41.7070094274,-87.6447816603,"5441 S. Michigan Ave.
(41.7070094274, -87.6447816603)"
Washington Park,40,People with Disabilities,"Brand New Beginnings, Inc.",5801 S. Michigan Ave.,60637,773-955-5780,Harriet Tubman NFP,25,1168602.533575851,1927172.3028950733,41.9556850173,-87.6547251281,"5801 S. Michigan Ave.
(41.9556850173, -87.6547251281)"
Washington Park,40,Multifamily,St. Edmund's Manor,5947 S. Indiana Ave.,60653,773-548-8924,St. Edmund's Manor Ltd.,24,1178127.357872784,1845525.7983164364,41.7316445313,-87.6579318552,"5947 S. Indiana Ave.
(41.7316445313, -87.6579318552)"
Washington Park,40,Multifamily,St. Edmund's Village,6253 S. Michigan Ave.,60653,773-493-2411,St. Edmund's Village LP,31,1178188.1637615676,1868790.5953475153,41.7952753031,-87.6223343775,"6253 S. Michigan Ave.
(41.7952753031, -87.6223343775)"
Washington Park,40,Multifamily,Michigan Plaza (St. Edmund's Plaza),5701 S. Michigan Ave.,60653,773-548-8924,Michigan Plaza LP,230,1178662.0563776551,1866559.6547361617,41.7891520073,-87.6221790762,"5701 S. Michigan Ave.
(41.7891520073, -87.6221790762)"
Washington Park,40,Multifamily,Harriett Tubman Apartments,5751-59 S. Michigan Ave.,60637,773-752-9760,Brand New Beginnings Inc.,65,1178307.6971999898,1865432.9159510299,41.7860493567,-87.6204757369,"5751-59 S. Michigan Ave.
(41.7860493567, -87.6204757369)"
Washington Park,40,Supportive/Kinship Families,Coppin House,325-43 E. 55th Place,60637,773-752-2331,Interfaith Housing Corp.,28,1178170.3707827867,1863372.5987250379,41.7804036945,-87.6218374892,"325-43 E. 55th Place
(41.7804036945, -87.6218374892)"
Washington Park,40,Multifamily,St. Edmund's Commons,110 E. 60th St.,60637,773-420-3328,St. Edmund's Redevelopment Corp.,54,1178184.0504477206,1867225.8041226729,41.7909803898,-87.6222241137,"110 E. 60th St.
(41.7909803898, -87.6222241137)"
Washington Park,40,Senior HUD 202,St. Edmund's Corners,5556 S. Michigan Ave.,60637,773-667-7583,St. Edmund's Redevelopment Corp.,53,1179276.0774989587,1866708.8159741443,41.7895614137,-87.6221896343,"5556 S. Michigan Ave.
(41.7895614137, -87.6221896343)"
Washington Park,40,Senior,TRC Senior Village I,346 E. 53rd St.,60615,773-924-9270,The Renaissance Collaborative,35,,1868251.4604524123,41.7937697184,-87.6181384856,"346 E. 53rd St.
(41.7937697184, -87.6181384856)"
West Englewood,67,Multifamily,Clara Temple Hampton Residence,1656 W. 63rd St.,60636,773-778-2884,West Englewood Dev. Org.,71,1178070.4429785577,,,,
West Englewood,67,Multifamily,Clara's Village,2115 W. 63rd St,60636,773-434-4929,Interfaith Housing Corp.,13,1179447.490115856,1867951.6767417216,41.7929745219,-87.6225685185,"2115 W. 63rd St
(41.7929745219, -87.6225685185)"
West Garfield Park,27,Supportive Housing,The Rebecca Johnson Apartments,2822 W. Jackson Blvd.,60612,773-638-6393,Deborah's Place Ltd.,52,1166121.3452266525,1869994.8980902864,41.7985499558,-87.6174566934,"2822 W. Jackson Blvd.
(41.7985499558, -87.6174566934)"
West Lawn,65,Seniors,Senior Suites of Midway Village,6800 S. Keating Ave.,60629,888-339-2315,Senior Lifestyle Corp.,89,1163257.2027996134,1862956.6860697763,41.779530386,-87.6665265092,"6800 S. Keating Ave.
(41.779530386, -87.6665265092)"
West Pullman ,53,Supportive Housing,Hancock House,12045 S. Emerald Ave.,60628,773-568-3000,Source Works Development,90,,1862800.706640397,41.7791628235,-87.6770311971,"12045 S. Emerald Ave.
(41.7791628235, -87.6770311971)"
West Pullman ,53,Senior,All Saints Senior Residence,11701 S. State St.,60628,312-655-7440,Catholic Charities Housing Devp.,42,1157527.9754137222,,,,
West Ridge,2,Senior,G & A Senior Residences at Ravenswood,1818 W. Peterson Ave.,60660,773-381-7400,Eastgate Village Senior Corp.,89,,1898606.336367213,41.8775358858,-87.6970630483,"1818 W. Peterson Ave.
(41.8775358858, -87.6970630483)"
West Ridge,2,Senior,West Ridge Senior Apartments,6142 N. California Ave.,60659,773-381-7400,West Ridge Senior Corp.,117,1173523.536248522,,,,
West Ridge,2,Senior,Lincoln Village Senior Apartments,6057 N. Lincoln Ave.,60659,773-338-5900,Perlmark Realty Management,99,1162949.471947985,1824810.0626359796,41.6746900779,-87.6405148423,"6057 N. Lincoln Ave.
(41.6746900779, -87.6405148423)"
West Ridge,2,ARO,"5822 North Western, LLC",5822 N. Western Ave.,60659,773-572-2755,Chicago Apartment Finders,2,,1939941.1893128548,41.9908491577,-87.6759930884,"5822 N. Western Ave.
(41.9908491577, -87.6759930884)"
West Town,24,Supportive Housing,Wicker Park Renaissance,1527-31 N. Wicker Park Ave.,60622,773-278-8602,"RRG Development, Inc.",102,1156512.510358117,,,,
